sentence,label
Have you seen the dog water bottle,pointing
Is the doorbell ringing,pointing
Bravo thermostat set right,good sign
Good night sir assistant,hello sign
Perfect AC set for night,good sign
Where did I leave the coffee syrup jar,pointing
Good job AC is on,good sign
Was the ceiling fan turned on,pointing
Hey brainy companion,hello sign
Where is the thermostat remote control,pointing
Can you find my notebook,pointing
Brilliant move lights off,good sign
Happy with smart lock active,good sign
Did I leave the kettle on,pointing
Just what I needed,good sign
Brilliant lights off done,good sign
Hello assistant digital friend,hello sign
Hi assistant time begi,hello sign
Can you guide me to the laundry room,pointing
Good morn tech guide,hello sign
Brilliant AC setti,good sign
Hello home brainy helper,hello sign
Hello smart genius yes,hello sign
Yay for doors lock,good sign
Nice touch vacuum just on,good sign
Nice touch doors lock,good sign
Morning buddy let's chat,hello sign
Hi tech genius hello,hello sign
Super smart AC coo,good sign
Hey assistant wake wake,hello sign
Well played AC c,good sign
Is the coffee maker on,pointing
Morning assistant tech modee,hello sign
Hey assistant respond here,hello sign
Awesome vacuum cl,good sign
Good day smart helper,hello sign
Hello smart brainiac,hello sign
Well done vacuum in action,good sign
Yay for lights offed,good sign
Hi assistant what's newy,hello sign
Where is the fan timer remote,pointing
Way to go AC is chill,good sign
Have you seen the camping lantern batteries,pointing
Fabulous lights off,good sign
Where did I put the extension cable,pointing
Great call AC cool,good sign
Excellent vacuum r,good sign
Happy with lights off AC on,good sign
Superb vacuum just started,good sign
Excellent doors lock,good sign
Good night tech mentor,hello sign
Where is the humidifier mist nozzle,pointing
Spot on AC coolin,good sign
Good call doors locked,good sign
Where is the iron cord,pointing
Kudos to vacuum ru,good sign
Have you seen the charging cable for the phone,pointing
Is the bedroom nightlight out,pointing
Can you locate the projector remote,pointing
Awesome choice AC is,good sign
Cool and cozy lights,good sign
Good job thermostat set,good sign
Right on doors all set,good sign
Brilliant vacuum now running,good sign
Right on AC cooling now,good sign
Was the basement door locked,pointing
Super happy lights are off,good sign
Hello brainy helper oh,hello sign
Good evening tech helper,hello sign
Hi assistant here again,hello sign
Hey wise assistant yes,hello sign
Super happy doors locked,good sign
Can you locate the soundbar battery cable,pointing
Well played vacuum started,good sign
Love this vacuum working,good sign
Hi buddy got plans,hello sign
Perfect vacuum just on,good sign
Nice one AC cooling room,good sign
Is the microwave in the kitchen clean,pointing
Is the window in the bedroom open,pointing
Have you seen the extension plug set,pointing
Yay for lights off AC,good sign
Is my phone charging somewhere,pointing
Good job doors locked tight,good sign
Hey assistant what's next,hello sign
Have you seen the dog toy,pointing
Is the garage fridge full,pointing
Great call AC is cool,good sign
Is the fridge making noise,pointing
Hello smart butler hi,hello sign
Hey tech assistant sleepy,hello sign
Morning assistant I'm,hello sign
Fabulous vacuum run,good sign
Satisfaction doors,good sign
Is the bathroom towel rack empty,pointing
Morning smart guide now,hello sign
Hey tech mentor hello,hello sign
Was the dining room light on last night,pointing
Nice work doors lock,good sign
Cool move AC is on now,good sign
Hey assistant respond now,hello sign
Nice one vacuum just on,good sign
Hi buddy what's newp,hello sign
Cool move doors all locked,good sign
Where did I put the flashlight,pointing
Hey assistant time shin,hello sign
Can you locate the projector mount bracket,pointing
Have you seen the charging pad,pointing
Can you help me find the light motion sensor,pointing
Can you guide me to the spare room,pointing
Super smooth AC i,good sign
Have you seen the fire extinguisher,pointing
Just what I needed doors,good sign
Can you locate the outdoor thermometer,pointing
Hello tech expert yes,hello sign
Is the kitchen blender plugged in,pointing
Fabulous vacuum cleans,good sign
Perfect match lights off,good sign
Hey buddy greetings again,hello sign
Perfect timing vacuum on,good sign
Hello assistant time talk,hello sign
Have you seen the extension ladder,pointing
Have you seen the extension plug,pointing
Was the bedroom radiator turned off,pointing
Hello digital darling,hello sign
Can you help me find the key to the basement,pointing
Excellent lights off,good sign
Brilliant vacuum just now,good sign
Hello digital mentor now,hello sign
Hi assistant I'm listening,hello sign
Super smart doors set,good sign
Is the bathroom cabinet mirror dirty,pointing
Nice one AC is chill,good sign
Way to go AC on now,good sign
Is the bathroom scale calibrated,pointing
Hey buddy greetings hi,hello sign
Hey assistant respond quick,hello sign
Hi assistant what's up,hello sign
Hi assistant hello again,hello sign
Where is the vacuum cleaner bag,pointing
Is the kitchen toaster oven on,pointing
Hi tech buddy sleepy,hello sign
Perfect AC settin,good sign
Hi tech wizard sleepy,hello sign
Good evening tech guide,hello sign
Hi buddy what's cooking,hello sign
Hi buddy greetings there,hello sign
Hello assistant time work,hello sign
Hi tech butler sleepy,hello sign
Hey there digital friend,hello sign
Is the dishwasher overloaded,pointing
Great work lights off,good sign
Morning digital expert now,hello sign
Awesome choice lights off,good sign
Have you seen the electric razor,pointing
Good day my lord,hello sign
Fabulous AC is cool,good sign
Yay for AC cooling,good sign
Can you guide me to the emergency kit,pointing
Well played AC on no,good sign
Can you help me find the keys to the shed,pointing
Is the outdoor light in the backyard on,pointing
Was the hallway nightlight on,pointing
Excellent lights offed,good sign
Kudos to lights out,good sign
Have you seen my sunglasses,pointing
Well played AC is cooling,good sign
Find the thermostat in the bedroom,pointing
Where did I leave my backpack,pointing
Perfect fit doors secured,good sign
Hi tech wizard now,hello sign
Have you seen the camping lantern,pointing
Nice touch AC is co,good sign
Perfect lights offed no,good sign
Spot on doors locked,good sign
Hello assistant tech support,hello sign
Amazing work doors set,good sign
Can you locate the fan speed battery,pointing
Perfect AC on for night,good sign
Hey home tech wizar,hello sign
Hello home tech helper,hello sign
Where is the spare key,pointing
Nice work vacuum clean,good sign
Was the bedroom bathroom light left on,pointing
Brilliant doors secure,good sign
Is the dining room clock ticking,pointing
Good day smart one,hello sign
Tell me where the cat’s food is,pointing
Morning digital mentor,hello sign
Hello smart friend hey,hello sign
Is the door locked,pointing
Hi assistant I'm heree,hello sign
Well done kitchen lights off,good sign
Can you help me with the air conditioner,pointing
Hi digital mentor hi,hello sign
Just what I wanted now,good sign
Bravo lights off doors locked,good sign
Can you help me with the patio lights,pointing
Can you guide me to the fire escape,pointing
Way to go lights off,good sign
Should I check the couch for the remote,pointing
Is the coffee table moved,pointing
Morning smart device yes,hello sign
Can you guide me to the bike rack,pointing
Where’s the bathroom scale,pointing
Amazing work vacuum,good sign
Morning tech guide now,hello sign
Hi assistant time talky,hello sign
Good evening tech mento,hello sign
Is the garage freezer humming,pointing
Where did I put the coffee filter handle,pointing
Hi buddy what's new,hello sign
Hi sleepy assistant,hello sign
Is the fan in the study not working,pointing
Was the office light turned off,pointing
Just right doors lock,good sign
Hey buddy let's beginn,hello sign
Good call lights out,good sign
Hello tech guide now,hello sign
Morning digital wizard yes,hello sign
Can you guide me to the fire extinguisher pouch,pointing
Is the coffee mug on the counter,pointing
Was the office fan turned off,pointing
Was the bedroom remote missing,pointing
Right on lights offed,good sign
Hi assistant time respond,hello sign
Morning tech mentor now,hello sign
Awesome choice thermostat set,good sign
Happy with AC coolin,good sign
Hi assistant let's interact,hello sign
Cool move lights of,good sign
Satisfaction doors secured,good sign
Can you locate the fan speed remote,pointing
Hello brainy device now,hello sign
Have you seen the portable charger,pointing
Perfect lights out,good sign
Find the power outlet for the vacuum,pointing
Good day assistant sleepy,hello sign
Have you seen the garden trowel,pointing
Find the kitchen timer for me,pointing
Good call AC is on,good sign
Greetings smart house,hello sign
Fabulous AC is cooling well,good sign
Where are the reading glasses,pointing
Well played vacuum active,good sign
Hi tech wizard hi,hello sign
Good day digital helper,hello sign
Where did I leave the water bottle,pointing
Happy with back door locked,good sign
Cool and cozy doors locked,good sign
Morning tech guide sleepy,hello sign
Nice work vacuum c,good sign
Yay for AC is on,good sign
Just right AC is chilling,good sign
Is the shower curtain leaking,pointing
Can you locate the soundbar remote,pointing
Nice one vacuum works,good sign
Morning buddy get going,hello sign
Nice one lights off,good sign
Was the patio seat cover relocated,pointing
Morning assistant let's chat,hello sign
Perfect doors set n,good sign
Where is the coffee sleeve,pointing
Hi buddy what's fun,hello sign
Good night tech guide,hello sign
Hi assistant let's talk,hello sign
Hey buddy greetings again,hello sign
Hey home tech advisor,hello sign
Was the dishwasher used recently,pointing
Hi there smart one,hello sign
Good evening tech mentor,hello sign
Morning assistant let's go,hello sign
Hello smart mentor now,hello sign
Where did I leave my scarf,pointing
Good call vacuum on,good sign
Cool move lights off success,good sign
A+ living room lights out,good sign
Perfect match lights,good sign
Hey there helper bot,hello sign
Amazing work AC is cool,good sign
Where did I leave the coffee beans packet,pointing
Can you check where the router is,pointing
Yes AC is on now,good sign
Was the laundry done,pointing
Hey home smart device,hello sign
Have you seen the garden hose reel,pointing
Hello home tech expert,hello sign
Do you know where the batteries are,pointing
Hi assistant I'm ready,hello sign
Have you seen the garden rake,pointing
Hello tech genius hello,hello sign
Is the kitchen coffee maker plugged in,pointing
Morning sleepy smart home,hello sign
Have you seen the camping stove tank,pointing
Perfect living room lights off,good sign
Hello assistant tech mode,hello sign
Hi assistant time talk,hello sign
Is the bathroom mirror clean,pointing
Where’s the bedroom,pointing
Can you locate the projector lens cover,pointing
Where is the screwdriver,pointing
Can you help me find the vacuum bag,pointing
Bravo AC is on timer,good sign
Is the garage freezer light flickering,pointing
Hi assistant need ideas,hello sign
Where did I leave my lunchbox,pointing
Was the coffee filter changed,pointing
Perfect timing for lights off,good sign
Nice touch doors all locked,good sign
What room is the soundbar in,pointing
Superb AC cooling now,good sign
Fabulous thermostat set right,good sign
Morning tech guide yes,hello sign
Was the office desk fan blown away,pointing
Fine by me AC set,good sign
Morning techie wonder,hello sign
Hi assistant I'm her,hello sign
Was the dining room nightlight used,pointing
Good evening tech helper,hello sign
Where did I put the coffee filter basket,pointing
Hi assistant what's upy,hello sign
Where is the humidifier filter,pointing
Hello tech guide ready,hello sign
Morning digital assistant yes,hello sign
Was the bedroom bathroom cabinet locked,pointing
Hi digital helper now,hello sign
Hello tech genius sleepy,hello sign
Happy with vacuum run,good sign
Can you help me find the light switch,pointing
Yay for doors secure,good sign
Hello sunshine,hello sign
Love it lights are off,good sign
Awesome lights are dimmed,good sign
Bravo doors locked n,good sign
Where did I put the tool chest,pointing
Hello smart helper here,hello sign
Hey assistant time answ,hello sign
Fine by me doors lock,good sign
Where is the coffee tumbler,pointing
Love this lights off system,good sign
Is the kitchen range fan working,pointing
Nice touch lights o,good sign
Did someone use the TV,pointing
Hi tech expert slee,hello sign
Hello home digital expert,hello sign
Hey buddy greetings here,hello sign
Hi assistant let's discuss,hello sign
Good night home hi,hello sign
Was the patio cover moved,pointing
Great work vacuum,good sign
Perfect vacuum cleans,good sign
Cool move AC chills,good sign
Top-notch vacuum action,good sign
Right on vacuum cl,good sign
Good day tech wizard,hello sign
Fine by me doors secured,good sign
Perfect timing vacu,good sign
Super smart vacuum running,good sign
Hi tech genius now,hello sign
Just right doors secured,good sign
Hi there tech wizard,hello sign
Satisfaction lights offed,good sign
Love this AC is on cool,good sign
Is the projector in the attic,pointing
Is the bathroom cabinet locked,pointing
Is the kitchen range light working,pointing
Just what I needed AC on,good sign
Is the shower temperature correct,pointing
Morning assistant tech helpe,hello sign
Hey home brainy expert,hello sign
Hey home got news,hello sign
Can you locate the projector stand,pointing
Where is the coffee thermos,pointing
Hi tech butler please,hello sign
Hey tech guide listen,hello sign
Hi tech butler hey,hello sign
Have you seen the phone charging station,pointing
Spot on doors lock,good sign
Have you seen the gardening tools,pointing
Super smart vacuum d,good sign
Where did I leave my glasses,pointing
Is the freezer drawer closed,pointing
Good evening buddy hey,hello sign
Is the bathtub cleaned,pointing
Hi assistant let's gooo,hello sign
Find the water filter for the fridge,pointing
Excellent vacuum just started,good sign
Morning smart mentor hi,hello sign
Yay for doors all secured,good sign
Do you know where the umbrella is,pointing
Hey home assistant sleepy,hello sign
Cool and cozy therm,good sign
Is the towel in the bathroom warm,pointing
Well done AC on now,good sign
Greetings and salutations,hello sign
Was the dining room nightlight burned out,pointing
Way to go vacuum c,good sign
Hey cool device,hello sign
Hi assistant time beginn,hello sign
Hey assistant let's begin,hello sign
Good day buddy hi,hello sign
Was the garage lightbulb burned out,pointing
Nice one vacuum in run,good sign
Can you locate the fan direction remote,pointing
Hello you there now,hello sign
Awesome doors all secured,good sign
Fabulous vacuum d,good sign
Good job vacuum works,good sign
Hi tech buddy sleepy,hello sign
Good day tech genius,hello sign
Morning assistant here we,hello sign
Hello home tech wizard,hello sign
Hello assistant tech guruu,hello sign
Super happy lights,good sign
Hello tech assistant yes,hello sign
Hi assistant I'm curious,hello sign
Satisfaction doors l,good sign
Hi assistant let's goo,hello sign
Morning smart friend now,hello sign
Hi tech guide are,hello sign
Cool and cozy AC cool,good sign
Smart call lights off now,good sign
Where did I leave the coffee syrup dispenser,pointing
Hello home digital wizard,hello sign
Hi buddy what's newd,hello sign
Kudos lights off done right,good sign
Hi assistant I'm curio,hello sign
Have you seen the extension cord,pointing
Good day tech assista,hello sign
Great pick vacuum just activated,good sign
Hello home tech expert,hello sign
Cool move vacuum on,good sign
Kudos to AC coolin,good sign
Just right vacuum ru,good sign
Hi assistant wake now,hello sign
Amazing work vacuum,good sign
Nice work AC is co,good sign
Excellent AC is on,good sign
Was the attic light on last weekend,pointing
Just right vacuum started,good sign
Hello tech butler yes,hello sign
Can you guide me to the emergency exit,pointing
Is the towel warmer on,pointing
Good night smart expert,hello sign
Was the hallway cupboard light on,pointing
Morning buddy tech mode,hello sign
Have you seen the remote,pointing
Hey assistant time respo,hello sign
Hello home tech buddy,hello sign
Way to go vacuum cleaning,good sign
Hey assistant time shin,hello sign
Good day digital wizard,hello sign
Hey assistant let's plan,hello sign
Have you seen the extension reel case,pointing
Have you seen the dog leash hook,pointing
Yay for AC is cool,good sign
Brilliant AC is cool,good sign
Have you seen the lawn mower,pointing
Have you seen the extension strip,pointing
Excellent vacuum cle,good sign
Hi assistant I'm awake,hello sign
Smart call AC is cool,good sign
Amazing work doo,good sign
Nice touch vacuum run,good sign
Have the keys been moved,pointing
Good evening assistant hi,hello sign
Hello smart helper now,hello sign
Smart call doors loc,good sign
Where did I put the coffee filter paper,pointing
Was the patio table moved,pointing
Hi buddy greetings ther,hello sign
Can you guide me to the fuse box,pointing
Have you seen the dog food bag,pointing
Cool move vacuum do,good sign
Hi buddy what's cook,hello sign
Hi assistant need help,hello sign
Good job lights off success,good sign
Amazing work lights off,good sign
Morning buddy let's chat,hello sign
Sweet deal lights are off,good sign
Have you seen my hiking boots,pointing
Hey there tech expert,hello sign
Hey techie you awake,hello sign
Hello home sweet home,hello sign
Happy with vacuum do,good sign
Love this AC on low,good sign
Morning assistant tech mode,hello sign
Where are the light bulbs,pointing
Hi assistant time shine,hello sign
Good job vacuum c,good sign
Is my laptop in the living room,pointing
Super smooth lights off,good sign
Right on lights off AC on,good sign
Morning tech helper yes,hello sign
Nice work vacuum just now,good sign
Good afternoon assistant yes,hello sign
Is the kitchen coffee machine on,pointing
Hi assistant here Iy,hello sign
Where is the fan filter battery,pointing
Where is the iron stand,pointing
Hello assistant time workk,hello sign
Hi tech savior hi,hello sign
Hello brainy device hi,hello sign
Was the bedroom bathroom mirror clean,pointing
Can you locate the projector lens cap,pointing
Nice one vacuum cl,good sign
Well done AC cooling,good sign
Good evening home yes,hello sign
Hello digital guide hi,hello sign
Exactly what I wanted,good sign
Perfect vacuum run n,good sign
Good evening digital wizard,hello sign
Yo you listening,hello sign
Where is the iron storage rack,pointing
Have you seen the extension cord reel,pointing
Is the kitchen range hood clean,pointing
Great work vacuum active,good sign
Hi assistant here I,hello sign
Hello digital friend hi,hello sign
Great work kitchen lights out,good sign
Good job doors secure,good sign
Where is the humidifier water tank,pointing
Well done lights off,good sign
Just right lights off,good sign
Fabulous vacuum on now,good sign
Have you seen the dog chew toy,pointing
Good call vacuum d,good sign
Fabulous thermostat set back,good sign
Which room is the thermostat in,pointing
Nice work doors lock,good sign
Can you guide me to the emergency drill kit,pointing
Cool vacuum is working,good sign
Morning cool assistant yes,hello sign
Is the nightlight on in the attic,pointing
Smart call vacuum,good sign
Where is the ironing board,pointing
Hello buddy sleepy now,hello sign
Can you help me find the key to the attic,pointing
Excellent thermostat set,good sign
Hi buddy time wake,hello sign
Is the bathroom cabinet light on,pointing
Hi digital assistant now,hello sign
Super happy vacuum active,good sign
Have you seen the dog treat jar,pointing
Where did I put the tool case,pointing
Hello home digital friend,hello sign
Was the dining room nightlight dim,pointing
Sweet AC is cooling perfectly,good sign
Hi assistant I'm ready,hello sign
Check the pantry for snacks,pointing
Happy with doors l,good sign
Super smooth vacuum,good sign
Morning smart butler yes,hello sign
Where’s the coffee machine,pointing
Great call lights off,good sign
Was the oven light left on,pointing
Check if the printer has paper,pointing
Is the bathroom cabinet drawer messy,pointing
Was the bedroom door opened,pointing
Hi home tech helper,hello sign
Can you locate the kitchen light switch,pointing
Good evening smart device,hello sign
Can you locate the projector mount,pointing
Where did I leave the coffee grinder burrs,pointing
Hi assistant I'm here,hello sign
Morning digital genius yes,hello sign
Was the basement light left on,pointing
Excellent vacuum clean,good sign
Where did I leave the coffee grinder blade,pointing
Brilliant vacuum running,good sign
Good call for AC 66,good sign
Super smart lights off,good sign
Hi tech buddy hello,hello sign
Good day tech expert,hello sign
Hey assistant sleepy today,hello sign
Happy with thermostat set,good sign
Hey buddy let's plan,hello sign
Rise and shine tech,hello sign
Was the patio heater turned off,pointing
Morning assistant here again,hello sign
Have you seen the paintbrush,pointing
Hi assistant what's happening,hello sign
Hello assistant tech mode,hello sign
Smart call lights o,good sign
Yay for vacuum do,good sign
Perfect doors are locked,good sign
Perfect timing door,good sign
Have you seen the phone case charger,pointing
Hi digital buddy hey,hello sign
Hi assistant what's up,hello sign
Hi assistant let's move,hello sign
Perfect kitchen lights out,good sign
Hey assistant answer please,hello sign
Awesome choice vacuum run,good sign
Where did I put the extra batteries,pointing
Hey home brainy friend,hello sign
Great call lights off success,good sign
Can you locate the projector stand mount,pointing
Just right thermostat set,good sign
Can you help me find the key fob,pointing
